# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
15	textures\enemies-2.png	0	128	128
30	textures\World1.png	255	255	255
-100	textures\bbox.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# ====BIG MARIO ======
# idle right
10001	246	154	260	181	0
# walk right
10002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk left
10012	155	154	170	181	0
10013	125	154	140	181	0
#brake left
10014	4	153	21	182	0
#brake right
10015	424	153	441	182	0
#jump right
10016	394	274	411	301	0
#jump left
10017	34	274	51	301	0
#dive right
10018	425	229	440	257	0
#dive left
10019	5	229	20	257	0
# die 
10099	215	120	231	135	0
# ===SMALL MARIO====
# idle small right
10121	247	0	259	16	0
# walk right
10122	275	0	291	16	0
10123	306	0	320	16	0
# idle small left
10131	187	0	198	16	0
# walk left
10132	155	0	170	16	0
10133	125	0	139	16	0
#break right 
10134	426	0	440	16	0
#break left
10135	6	0	20	16	0
#jump right
10136	395	80	411	96	0
#jump left	
10137	35	80	51	96	0
# ====RACOON MARIO ======
# idle right
10201	243	634	264	662	0
# walk right
10202	272	634	294	662	0		
10203	303	634	324	661	0
# idle left
10211	182	634	203	662	0
#walk left
10212	152	634	173	662	0
10213	122	634	143	661	0
#brake left
10214	5	633	20	663	0
#brake right
10215	425	633	440	663	0
#jump right
10216	392	754	415	781	0
#jump left
10217	31	754	54	781	0
#dive right
10218	392	719	414	737	0
#dive left
10219	32	719	54	737	0
#==========WOODEN SQUARE TILE ===========
20001	408	225	424	241	20
#=============MOB===================#
#========GOOMBA==========
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10
#========VenusFireTrap==========
#Look_Up_Right_Open
30004	361	330	377	362	15
#Look_Up_Left_Open
30005	287	330	303	362	15
#Look_Down_Right_Open
30006	325	330	341	362	15
#Look_Down_left_Open
30007	251	330	267	362	15
#Look_Up_Right_Closed
30008	377	330	394	362	15
#Look_Up_Left_Closed
30009	304	330	320	362	15
#Look_Down_Right_Closed
30010	342	330	358	362	15
#Look_Down_left_Closed
30011	268	330	284	362	15
#===FireBall===#
30012	305	78	312	87	15
30013	313	79	322	87	15
30014	323	79	332	87	15
30015	333	78	340	87	15
#===========Turtle===========#
#====Green Turtle=====#
#winged_left
30016	205	248	221	276	15
30017	222	250	238	276	15
30018	239	249	255	276	15
30019	256	249	272	276	15
#winged_right
30020	322	291	338	318	15
30021	339	291	355	318	15
30022	356	292	372	318	15
30023	373	290	389	318	15
#Onfoot_left
30024	205	191	221	218	15
30025	222	192	238	218	15
#Onfoot_right
30026	187	191	203	218	15
30027	170	192	186	218	15
#Turtled
30028	239	202	255	218	15
#Flipped
30029	152	202	168	218	15
#Spinning
30030	256	202	272	218	15
30031	273	202	289	218	15
30032	290	202	306	218	15
#Spinning Flipped
30054	114	184	130	200	15
30055	131	184	147	200	15
30056	148	184	164	200	15
#====Red Turtle=====#
#winged_left
30034	205	219	221	247	15
30035	222	221	238	247	15
30036	239	220	255	247	15
30037	256	220	272	247	15
#winged_right
30038	187	219	203	247	15
30039	170	221	186	247	15
30040	153	220	169	247	15
30041	136	220	152	247	15
#Onfoot_left
30042	205	163	221	190	15
30043	222	164	238	190	15
#Onfoot_right
30044	187	249	203	276	15
30045	170	250	186	276	15
#Turtled
30046	239	174	155	190	15
#Flipped
30047	273	231	289	247	15
#Spinning
30048	256	174	272	190	15
30049	273	174	289	190	15
30050	290	174	306	190	15
#Spinning Flipped
30051	290	231	306	247	15
30052	307	231	323	247	15
30053	324	231	340	247	15
#====brick with question mark animation====
#Active
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	354	117	370	133	20
#Empty
40005	372	117	388	133	20
#===============Collidable obstacles========================
#Fisrt Ground Tile
41001	0	416	624	432	30
#second Ground Tile
41002	624	400	1088	432	30
#Third Ground Tile
41003	1152	416	1504	432	30
#Fourth Ground Tile
41004	1536	416	1616	432	30
#fifth Ground Tile
41005	1664	416	2240	432	30
#sixth Ground Tile
41006	2256	416	2815	432	30
#Tunnel
41102	352	368	383	416	30
#Shorter Tunnel
41103	1792	384	1824	416	30
#Wooden Tile headed Tunnel
41104	2256	368	2287	416	30
#Wooden Tile bottom Tunnel
41105	2256	112	2290	320	30  
#=First Moutain Block Group=#
#first block
41203	240	368	288	416	30
#second block
41204	272	336	328	416	30
#=Second Moutain Block Group=#
#First block
41205	400	368	480	416	30
#Second block
41206	464	336	528	416	30
#Third Block
41207	512	304	582	416	30
#Fourth block
41208	512	384	616	416	30
#=Third Moutain Block Group=#
#First block
41209	1264	384	1376	416	30
#Second block
41210	1296	352	1408	416	30
#Third Block
41211	1328	320	1448	416	30
#=Third Moutain Block Group=#
#First block
41212	2144	368	2192	416	30
#Second block
41213	2176	272	2232	416	30
#Sky Block
41214	1312	144	1384	184	30
#Breakable brick
41301	300	135	316	151	20
41302	318	135	334	151	20
41303	336	135	352	151	20
41304	354	135	370	151	20
41305	372	135	388	151	20
#Cloud Tile
41306	1408	192	1424	208	30

#===============Power-Ups========================
#Super_Mushroom
41400	300	189	316	205	20
#Consumable coin
41401	1073	320	1087	336	30
#Racoon_leaf
#flying left 
41402	300	208	315	221	20
#flying right
41403	284	244	299	257	20
#===============Decorative Object==========================
#Tall_Bushes
#First bush
42001	15	351	144	416	30
#second bush 
42002	817	336	944	400	30
#small bush
42003	944	352	1008	400	30
#high bush
42004	2368	288	2464	416	30
#rolling brick debris
42006	484	120	492	128	20
42007	470	120	478	128	20
42008	457	120	465	128	20
42009	457	107	465	115	20
#Bonus_coin
42010	300	99	315	115	20
42011	318	99	333	115	20
42012	336	99	351	115	20
#Tiny Bush
42013	160	400	176	416	30
#two-headed cloud
42014	120	273	168	296	30
#one-headed cloud
42015	328	257	360	280	30
